Item ID,Item Name,Category,Subcategory,Collection,Rarity,Source Type,Source Game,Visible Unlock Condition,Internal Unlock Condition,Token Price,Equivalent Token Value,Salvage %,Giftable,Unlimited Placement,Account-Earned Only,Secret,Footprint W,Footprint D,Height Band,Placement Surface,Room Types,Rotation,Style Tags,Animation / VFX,Audio / Ambience,Future Interaction,Collection Completion Set,3D Production Notes
buy-with-game-night-tokens-princess-and-dance-stage-spotlight-la,Stage Spotlight Lamp,Lighting,Lighting,Princess & Dance,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Princess & Dance; Purchasable,Warm flicker,None,Toggle / lighting preset,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-princess-and-dance-soft-star-rug,Soft Star Rug,Rugs,Rugs,Princess & Dance,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,20,20,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Princess & Dance; Purchasable,None,None,Decorative,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-princess-and-dance-ballet-barre-wall-,Ballet Barre Wall Rail,Wall Decor,Wall Decor,Princess & Dance,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Princess & Dance; Purchasable,None,None,Inspect / memory card,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-princess-and-dance-lizzie-s-ballet-sh,Lizzie's Ballet Shoe Display,Collectibles,Collectibles,Princess & Dance,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,25,25,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Princess & Dance; Purchasable,None,None,Inspect achievement / history,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-princess-and-dance-pearl-dot-wallpape,Pearl Dot Wallpaper,Wallpaper,Wallpaper,Princess & Dance,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Princess & Dance; Purchasable,None,None,Apply to room walls,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-princess-and-dance-pale-dance-studio-,Pale Dance-Studio Floor,Flooring,Flooring,Princess & Dance,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Princess & Dance; Purchasable,None,None,Apply to room floor,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-princess-and-dance-arched-dressing-mi,Arched Dressing Mirror,Wall Decor,Wall Decor,Princess & Dance,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Princess & Dance; Purchasable,None,None,Inspect / memory card,Princess & Dance,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-steel-frame-bed,Steel Frame Bed,Beds,Beds,Industrial Shop,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Sleep animation later,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-papa-s-tattered-yello,Papa's Tattered Yellow Chair Replica,Seating,Seating,Industrial Shop,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Sit animation later,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-welding-table-desk,Welding Table Desk,Tables,Tables,Industrial Shop,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Surface for small decor,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-tool-chest-dresser,Tool Chest Dresser,Storage,Storage,Industrial Shop,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Open/inspect later,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-rolling-shop-cabinet,Rolling Shop Cabinet,Storage,Storage,Industrial Shop,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Open/inspect later,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-utility-monitor-stand,Utility Monitor Stand,Electronics,Electronics,Industrial Shop,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,200,200,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-caged-work-light,Caged Work Light,Lighting,Lighting,Industrial Shop,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,Warm flicker,None,Toggle / lighting preset,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-anti-fatigue-shop-mat,Anti-Fatigue Shop Mat,Rugs,Rugs,Industrial Shop,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Decorative,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-blueprint-wall-rack,Blueprint Wall Rack,Wall Decor,Wall Decor,Industrial Shop,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,40,40,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Inspect / memory card,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-pegboard-tool-wall,Pegboard Tool Wall,Wall Decor,Wall Decor,Industrial Shop,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Inspect / memory card,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-metal-panel-wallpaper,Metal Panel Wallpaper,Wallpaper,Wallpaper,Industrial Shop,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Apply to room walls,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-sealed-concrete-floor,Sealed Concrete Floor,Flooring,Flooring,Industrial Shop,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Apply to room floor,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-industrial-shop-sliding-steel-door,Sliding Steel Door,Windows & Doors,Windows & Doors,Industrial Shop,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,0,Architectural,Wall Opening,Bedroom; Common Space,90° steps,Industrial Shop; Purchasable,None,None,Architectural customization,Industrial Shop,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-retro-motel-bed,Retro Motel Bed,Beds,Beds,Retro Game Night,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Sleep animation later,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-vinyl-swivel-chair,Vinyl Swivel Chair,Seating,Seating,Retro Game Night,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Sit animation later,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-chrome-side-table,Chrome Side Table,Tables,Tables,Retro Game Night,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Surface for small decor,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-mid-century-dresser,Mid-Century Dresser,Storage,Storage,Retro Game Night,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Open/inspect later,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-wood-grain-tube-tv,Wood-Grain Tube TV,Electronics,Electronics,Retro Game Night,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,200,200,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-mushroom-table-lamp,Mushroom Table Lamp,Lighting,Lighting,Retro Game Night,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,Warm flicker,None,Toggle / lighting preset,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-orange-burst-rug,Orange Burst Rug,Rugs,Rugs,Retro Game Night,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Decorative,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-family-game-night-po,Family Game Night Poster,Wall Decor,Wall Decor,Retro Game Night,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,40,40,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Inspect / memory card,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-record-player-consol,Record Player Console,Electronics,Electronics,Retro Game Night,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-checkerboard-wallpap,Checkerboard Wallpaper,Wallpaper,Wallpaper,Retro Game Night,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Apply to room walls,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-terrazzo-flooring,Terrazzo Flooring,Flooring,Flooring,Retro Game Night,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Apply to room floor,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-retro-game-night-james-s-quiet-timber,James's Quiet Timber Clock,Decorations,Decorations,Retro Game Night,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,20,20,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Retro Game Night; Purchasable,None,None,Decorative,Retro Game Night,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-patchwork-quilt-bed,Patchwork Quilt Bed,Beds,Beds,Cozy Grandma,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Sleep animation later,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-floral-recliner,Floral Recliner,Seating,Seating,Cozy Grandma,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Sit animation later,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-doily-side-table,Doily Side Table,Tables,Tables,Cozy Grandma,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Surface for small decor,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-old-oak-dresser,Old Oak Dresser,Storage,Storage,Cozy Grandma,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Open/inspect later,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-knitted-tv-cozy-stand,Knitted TV Cozy Stand,Electronics,Electronics,Cozy Grandma,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,200,200,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-fringed-table-lamp,Fringed Table Lamp,Lighting,Lighting,Cozy Grandma,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,Warm flicker,None,Toggle / lighting preset,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-braided-oval-rug,Braided Oval Rug,Rugs,Rugs,Cozy Grandma,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Decorative,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-family-recipe-frame,Family Recipe Frame,Wall Decor,Wall Decor,Cozy Grandma,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,40,40,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Inspect / memory card,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-crochet-basket,Crochet Basket,Decorations,Decorations,Cozy Grandma,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Decorative,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-tiny-african-violet,Tiny African Violet,Plants,Plants,Cozy Grandma,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Table,Bedroom; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Ambient animation optional,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-cozy-grandma-soft-floral-wallpaper,Soft Floral Wallpaper,Wallpaper,Wallpaper,Cozy Grandma,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Cozy Grandma; Purchasable,None,None,Apply to room walls,Cozy Grandma,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-camp-bunk-bed,Camp Bunk Bed,Beds,Beds,Outdoors & Fishing,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Sleep animation later,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-canvas-camp-chai,Canvas Camp Chair,Seating,Seating,Outdoors & Fishing,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Sit animation later,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-tackle-box-side-,Tackle Box Side Table,Tables,Tables,Outdoors & Fishing,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Surface for small decor,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-fishing-gear-loc,Fishing Gear Locker,Storage,Storage,Outdoors & Fishing,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Open/inspect later,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-cabin-weather-tv,Cabin Weather TV,Electronics,Electronics,Outdoors & Fishing,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,175,175,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-camping-lantern-,Camping Lantern Lamp,Lighting,Lighting,Outdoors & Fishing,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,150,150,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,Warm flicker,None,Toggle / lighting preset,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-lake-map-rug,Lake Map Rug,Rugs,Rugs,Outdoors & Fishing,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,20,20,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Decorative,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-framed-fishing-m,Framed Fishing Map,Wall Decor,Wall Decor,Outdoors & Fishing,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,30,30,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Inspect / memory card,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-logan-s-fishing-,Logan's Fishing Rod Rack,Toys & Hobbies,Toys & Hobbies,Outdoors & Fishing,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,25,25,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Inspect / animation later,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-mounted-canoe-pa,Mounted Canoe Paddle,Wall Decor,Wall Decor,Outdoors & Fishing,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,50,50,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Inspect / memory card,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-pine-forest-wall,Pine Forest Wallpaper,Wallpaper,Wallpaper,Outdoors & Fishing,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,0,0,Surface,Wall Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Apply to room walls,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-weathered-deckbo,Weathered Deckboard Floor,Flooring,Flooring,Outdoors & Fishing,Common,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,35,35,0.25,Yes,Yes,No,No,0,0,Surface,Floor Surface,Bedroom; Bathroom; Kitchen; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Apply to room floor,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-outdoors-and-fishing-screened-cabin-w,Screened Cabin Window,Windows & Doors,Windows & Doors,Outdoors & Fishing,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,1,0,Architectural,Wall Opening,Bedroom; Common Space,90° steps,Outdoors & Fishing; Purchasable,None,None,Architectural customization,Outdoors & Fishing,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-construction-crew-worksite-bunk,Worksite Bunk,Beds,Beds,Construction Crew,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,3,Tall,Floor,Bedroom; Common Space,90° steps,Construction Crew; Purchasable,None,None,Sleep animation later,Construction Crew,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-construction-crew-loader-seat-chair,Loader-Seat Chair,Seating,Seating,Construction Crew,Uncommon,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,75,75,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Construction Crew; Purchasable,None,None,Sit animation later,Construction Crew,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-construction-crew-sawhorse-desk,Sawhorse Desk,Tables,Tables,Construction Crew,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,90,90,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Construction Crew; Purchasable,None,None,Surface for small decor,Construction Crew,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-construction-crew-job-box-storage,Job Box Storage,Storage,Storage,Construction Crew,Rare,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,120,120,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Construction Crew; Purchasable,None,None,Open/inspect later,Construction Crew,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
buy-with-game-night-tokens-construction-crew-site-monitor,Site Monitor,Electronics,Electronics,Construction Crew,Epic,Buy with Game Night Tokens,,Available in the Cabin Shop,Available in the Cabin Shop,200,200,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Construction Crew; Purchasable,Subtle emissive screen loop,Optional room ambience hook,Turn on / launch content later,Construction Crew,Game-ready authored mesh; shared materials where practical; LODs for large/animated pieces.
